"","carabidid_carabids_other","subfamily_carabids_other","tribe_carabids_other","subtribe_carabids_other","genus","subgenus_carabids_other","species","author_carabids_source","yearofdesc_carabids_other","region_carabids_other","range_carabids_other","countries_carabids_other","hindwingdevelopment_carabids_other","maxsize_carabids_body","minsize_carabids_body","eyesize_carabids_other","trophiclevel_carabids_feeding","visualhunter_carabids_feeding","snailhunter_carabids_feeding","collembolehunter_carabids_feeding","isopodhunter_carabids_feeding","habitatpreference_carabids_habitat","hibernation_carabids_other","activitystart_carabids_other","activityend_carabids_other","reprospring_carabids_other","reprosummer_carabids_other","reproautumn_carabids_other","reprowinter_carabids_other","comment_carabids_source","isactive_carabids_other","distributionarea_carabids_other","distributioncenterlatitude_carabids_other","distributioncenterlongitude_carabids_other","referenceid_carabids_other","carabididref_carabids_other","referenceclassification_carabids_source","referencedistribution_carabids_source","referencebodysize_carabids_source","referencehwd_carabids_source","referenceeyesize_carabids_source","referencetrophiclevel_carabids_source","referencehuntingabilities_carabids_source","referencehabitatpreference_carabids_source","referencehibernation_carabids_source","referenceactivitytime_carabids_source","referencereproduction_carabids_source","x"
"232",2604,"Carabinae","Carabini","","carabus","Chaetocarabus","intricatus","Linn",1761,"Central Europe","widespread","AL,AU,BE,BH,BU,BY,CR,CT,CZ,DE,FR,GE,GR,HU,IT,LU,MC,MD,NL,PL,RO,SK,SL,SZ,TR,UK,YU","shortwinged",38,24,"10 - 25 %","Predator","","","","","6,9","","","","","","",NA,"",1,350,51,9,2604,2604,"Löbl & Smetana (2003)","Löbl & Smetana (2003)","Lindroth (1985/86): 61, Turin et al. (2003): 108","Lindroth (1985/86): 61, Turin et al. (2003): 108","Freude et al. (2006): 49","Freude et al. (2006): 49","","GAC, Ed. (2009)","","","",NA
"233",2607,"Carabinae","Carabini","","carabus","Platycarabus","irregularis","Fabricius",1792,"Central Europe","widespread","YU,SL,CR,BH,UK,SK,RO,SZ,PL,LU,LS,HU,GE,FR,CZ,BE,AU","shortwinged",30,19,"10 - 25 %","Predator","","","","","2,6","","","","","","",NA,"",1,350,51,9,2607,2607,"Löbl & Smetana (2003)","Löbl & Smetana (2003)","Freude et al. (2006): 46","Freude et al. (2006): 46","Freude et al. (2006): 46","Freude et al. (2006): 46","","GAC, Ed. (2009)","","","",NA
"234",2704,"Carabinae","Carabini","","carabus","Oreocarabus","linnei","Panzer",1810,"Central Europe","widespread","AU,CZ,GE,PL,RO,SK,UK,IT","shortwinged",21,16,"10 - 25 %","Predator","","","","","6","","","","","","",NA,"",1,350,51,9,2704,2704,"Löbl & Smetana (2003)","Löbl & Smetana (2003)","Freude et al. (2006): 57","Freude et al. (2006): 57","Freude et al. (2006): 57","Freude et al. (2006): 57","","GAC, Ed. (2009)","","","",NA
"235",2739,"Carabinae","Carabini","","carabus","Carabus","menetriesi","Hummel",1827,"Central Europe","widespread","BY,CT,EN,FI,LA,LT,NT,PL,SK,UK,WS,AU,CZ,GE","shortwinged",24,18,"10 - 25 %","Predator","","","","","4","","","","","","",NA,"",1,350,51,9,2739,2739,"Löbl & Smetana (2003)","Löbl & Smetana (2003)","Freude et al. (2006): 42","Freude et al. (2006): 42","Freude et al. (2006): 42","Freude et al. (2006): 42","","GAC, Ed. (2009)","","","",NA
"236",2753,"Carabinae","Carabini","","carabus","Morphocarabus","monilis","Fabricius",1792,"Central Europe","widespread","AU,BE,FR,GB,GE,IR,IT,LU,NL,SZ","shortwinged",26,22,"10 - 25 %","Predator","","","","","4,5,6,7,9","","","","","","",NA,"",1,350,51,9,2753,2753,"Löbl & Smetana (2003)","Löbl & Smetana (2003)","Lindroth (1985/86): 54","Lindroth (1985/86): 54","Freude et al. (2006): 55","Freude et al. (2006): 55","","GAC, Ed. (2009)","","","",NA
"237",2772,"Carabinae","Carabini","","carabus","Archicarabus","nemoralis","O. F. M",1764,"Central Europe","widespread","AU,BE,BH,BY,CR,CT,CZ,DE,EN,FI,FR,GB,GE,HU,IR,IT,LA,LS,LT,LU,NL,NR,NT,PL,SK,SL,SP,ST,SV,SZ,UK,YU,KZ","shortwinged",28,18,"10 - 25 %","Predator","","","","","1,5,6,7,9","","","","","","",NA,"",1,350,51,9,2772,2772,"Löbl & Smetana (2003)","Löbl & Smetana (2003)","Turin et al. (2003): 92","Turin et al. (2003): 92","Freude et al. (2006): 51","Freude et al. (2006): 51","","GAC, Ed. (2009)","","","",NA
"238",2776,"Carabinae","Carabini","","carabus","Hemicarabus","nitens","Linn",1758,"Central Europe","widespread","AU,BE,BY,CT,CZ,DE,EN,FI,FR,GB,GE,IR,LA,LT,LU,NL,NR,MD,PL,RO,SK,SP,ST,SV,SZ,UK,WS","shortwinged",18,13,"10 - 25 %","Predator","","","","","1,4,7","","","","","","",NA,"",1,350,51,9,2776,2776,"Löbl & Smetana (2003)","Löbl & Smetana (2003)","Lindroth (1985/86): 60","Lindroth (1985/86): 60","Freude et al. (2006): 33","Freude et al. (2006): 33","","GAC, Ed. (2009)","","","",NA
"239",2894,"Carabinae","Carabini","","carabus","Morphocarabus","scheidleri","Panzer",1799,"Central Europe","widespread","AU,CZ,GE,HU,RO,YU,SK,BH,CR","shortwinged",35,25,"10 - 25 %","Predator","","","","","5,6,9","","","","","","",NA,"",1,350,51,9,2894,2894,"Löbl & Smetana (2003)","Löbl & Smetana (2003)","Freude et al. (2006):56","Turin et al. (2003): 83","Freude et al. (2006):56","Freude et al. (2006):56","","GAC, Ed. (2009)","","","",NA
"240",2952,"Carabinae","Carabini","","carabus","Orinocarabus","sylvestris","Panzer",1793,"Central Europe","widespread","AU,CZ,FR,GE,PL,SZ,RO,SK,UK","shortwinged",29,19,"10 - 25 %","Predator","","","","","2,4,6","","","","","","",NA,"",1,350,51,9,2952,2952,"Löbl & Smetana (2003)","Löbl & Smetana (2003)","Freude et al. (2006): 59","Freude et al. (2006): 59","Freude et al. (2006): 59","Freude et al. (2006): 59","","GAC, Ed. (2009)","","","",NA
"241",3001,"Carabinae","Carabini","","carabus","Eucarabus","ulrichii","Gennar",1824,"Central Europe","widespread","CZ,GE,HU,MD,PL,RO,SK,UK,YU,AU,BE,BU,BH,CR,CZ,NL,SL","shortwinged",33,16,"10 - 25 %","Predator","","","","","2,4,5,6,7,9","","","","","","",NA,"",1,350,51,9,3001,3001,"Löbl & Smetana (2003)","Löbl & Smetana (2003)","Freude et al. (2006): 40, Turin et al. (2003): 82","Freude et al. (2006): 40, Turin et al. (2003): 82","Freude et al. (2006): 40","Freude et al. (2006): 40","","GAC, Ed. (2009)","","","",NA
"242",3008,"Carabinae","Carabini","","carabus","Hygrocarabus","variolosus","Fabricius",1787,"Central Europe","widespread","BU,CZ,PL,RO,SK,YU,UK,AU,BH,CR,FR,GE,HU,IT,SL,SZ","shortwinged",33,20,"10 - 25 %","Predator","","","","","","","","","","","",NA,"",1,350,51,9,3008,3008,"Löbl & Smetana (2003)","Löbl & Smetana (2003)","Freude et al. (2006): 37","Freude et al. (2006): 37","Freude et al. (2006): 37","Freude et al. (2006): 37","","","","","",NA
"243",3014,"Carabinae","Carabini","","carabus","Megodontus","violaceus","Linne",1758,"Central Europe","widespread","AU,CZ,CT,DE,FI,FR,GB,GE,HU,IR,NR,NT,PL,SK,SV,AN,SP,GG,ST,ES,FE,KZ,WS,BY,EN,LA,LT,MD,RO,UK,IT,LC,SL,SZ,BE,NL,LU,BU,BH,MC,YU","shortwinged",38,22,"","","","","","","2,4,5,6,7,9","","","","","","",NA,"",1,350,51,9,3014,3014,"Löbl & Smetana (2003)","Löbl & Smetana (2003)","","","","","","GAC, Ed. (2009)","","","",NA
"244",3175,"Harpalinae","Chlaeniini","Chlaeniina","chlaenius","Agostenus","costulatus","Motschulsky",1859,"Central Europe","widespread","BY,EN,FI,GE,KZ,LT,NR,NT,PL,SV,ES,KZ,WS","winged",12,10,"25 - 50 %","","","","","","4","","","","","","",NA,"",1,350,51,9,3175,3175,"Löbl & Smetana (2003)","Löbl & Smetana (2003)","","","","","","GAC, Ed. (2009)","","","",NA
"245",3180,"Harpalinae","Chlaeniini","Chlaeniina","chlaenius","Dinodes","decipiens","Dufour",1820,"Central Europe","","AB,AL,AR,BH,BU,CR,CT,FR,GE,GG,GR,HU,IT,KZ,MC,MD,PT,RO,SK,SP,ST,TR,UK,YU,AG, MO,TU,TR","winged",13,10,"25 - 50 %","","","","","","","","","","","","",NA,"",1,350,51,9,3180,3180,"Löbl & Smetana (2003)","Löbl & Smetana (2003)","","","","","","","","","",NA
"246",3190,"Harpalinae","Chlaeniini","Chlaeniina","chlaenius","Chlaenius","festivus","Panzer",1796,"Central Europe","","AB,AL,AR,AU,BH,BU,BY,CR,CT,CZ,FR,GG,HU,IT,KZ,LT,MC,MD,RO,SK,SL,ST,TR,UK,YU,EG,LB,TU,AF,IN,IQ,SY,TD,TR,UZ,WS,AU,GE,SP,SZ,AG,MO,MR","shortwinged",17,13,"25 - 50 %","","","","","","","","","","","","",NA,"Werner (1992): 12",1,350,51,9,3190,3190,"Löbl & Smetana (2003)","Löbl & Smetana (2003)","","","","","","","","","",NA
"247",3240,"Harpalinae","Chlaeniini","Chlaeniina","chlaenius","Chlaeniellus","nigricornis","Fabricius",1787,"Central Europe","widespread","AB,AL,AN,AR,AU,BE,BH,BU,BY,CR,CT,CZ,DE,EN,FA,FI,FR,GB,GE,GG,HU,IR,IT,KZ,LA,LS,LT,LU,MA,MC,MD,NL,NR,NT,PL,RO,SL,SP,ST,SV,SZ,TR,UK,YU,MR,KZ,TR,WS","winged",13,9,"25 - 50 %","","","","","","1,3,4","","","","","","",NA,"",1,350,51,9,3240,3240,"Löbl & Smetana (2003)","Löbl & Smetana (2003)","","","","","","GAC, Ed. (2009)","","","",NA
"248",3244,"Harpalinae","Chlaeniini","Chlaeniina","chlaenius","Chlaeniellus","nitidulus","Schrank",1781,"Central Europe","widespread","AL,AN,AU,BE,BH,BU,BY,CR,CZ,DE,EN,FA,FR,GB,GE,HU,IR,IT,KZ,LS,LT,LU,MA,MC,MD,NL,NR,NT,PL,SK,SL,SP,ST,SV,SZ,UK,YU,MR","winged",20,10,"25 - 50 %","","","","","","3,4,9","","","","","","",NA,"",1,350,51,9,3244,3244,"Löbl & Smetana (2003)","Löbl & Smetana (2003)","","","","","","GAC, Ed. (2009)","","","",NA
"249",3250,"Harpalinae","Chlaeniini","Chlaeniina","chlaenius","Chlaeniellus","olivieri","Crotch",1871,"Central Europe","widespread","BE,CR,FR,GE,IT,MC,PT,SL,SP,YU,SZ,AG,MO,TU","winged",12,10,"25 - 50 %","","","","","","","","","","","","",NA,"",1,350,51,9,3250,3250,"Löbl & Smetana (2003)","Löbl & Smetana (2003)","","","","","","","","","",NA
"250",3288,"Harpalinae","Chlaeniini","Chlaeniina","chlaenius","Chlaeniellus","tibialis","Dejean",1826,"Central Europe","widespread","AU,BE,BY,GE,FR,HU,LU,NL,PL,SK,SL,SP","",12,10,"25 - 50 %","","","","","","3,8,9","","","","","","",NA,"Kirschenhofer (2004): 39",1,350,51,9,3288,3288,"Löbl & Smetana (2003)","Löbl & Smetana (2003)","Freude et al. (2006): 425","""Turin (2000): 535 (""""Flügellänge unbekannt"""")""","","","","GAC, Ed. (2009)","","","",NA
"251",3291,"Harpalinae","Chlaeniini","Chlaeniina","chlaenius","Chlaeniellus","tristis","Schaller",1783,"Central Europe","widespread","AB,AL,AN,AR,AU,BE,BH,BU,BY,CR,CT,CZ,DE,EN,FI,FR,GE,GG,HU,IT,KZ,LA,LS,LT,LU,MA,MC,MD,NL,NR,NT,PL,SK,SL,SP,ST,SV,SZ,TR,UK,YU,MR,KZ,TM,TR,UZ,WS,ES,FE","winged",13,10,"25 - 50 %","","","","","","1,4","","","","","","",NA,"",1,350,51,9,3291,3291,"Löbl & Smetana (2003)","Löbl & Smetana (2003)","Freude et al. (2006): 425","Lindroth (1985/86): 404","","","","GAC, Ed. (2009)","","","",NA
"252",3295,"Harpalinae","Chlaeniini","Chlaeniina","chlaenius","Chlaeniellus","vestitus","Paykull",1790,"Central Europe","widespread","AB,AL,AN,AR,AU,BE,BH,BU,BY,CR,CT,CZ,DE,EN,FA,FI,FR,GB,GE,GG,HU,IR,IT,KZ,LA,LS,LT,LU,MA,MC,MD,NL,NR,NT,PL,RO,SK,SL,SP,ST,SV,SZ,TR,UK,YU,MR,IN,IQ,TR,WS","winged",11,8,"25 - 50 %","","","","","","1,3,4","","","","","","",NA,"Csiki (1946): 446",1,350,51,9,3295,3295,"Löbl & Smetana (2003)","Löbl & Smetana (2003)","","","","","","GAC, Ed. (2009)","","","",NA
"253",3322,"Cicindelinae","Cicindelini","Cicindelina","cicindela","Cicindela","campestris","Linn",1758,"Central Europe","widespread","AB,AL,AN,AU,BE,BH,BU,BY,CR,CT,CZ,DE,EN,FI,FR,GB,GE,GG,GR,HU,IR,IT,LA,LS,LU,MA,MC,MD,NL,NR,PL,PT,RO,SK,SL,SP,ST,SV,SZ,TR,UK,YU,AG,MO,TU,CY,SY,ES,IN,KI,KZ,UZ,WS","winged",14,10,"25 - 50 %","Predator","checked","","","","2,4,6,7,8,9","","March","September","","","",NA,"Chaudoir (1876): 256",1,350,51,9,3322,3322,"Löbl & Smetana (2003)","Löbl & Smetana (2003)","Freude et al. (2006): 18","Freude et al. (2006): 18","Freude et al. (2006): 18","Freude et al. (2006): 18","","GAC, Ed. (2009)","","Freude et al. (2006): 18","",NA
"254",3330,"Cicindelinae","Cicindelini","Cicindelina","cicindela","Cicindela","gallica","Brull",1834,"Central Europe","widespread","AU,FR,GE,IT,LS,SL,SZ","winged",15,12,"25 - 50 %","Predator","checked","","","","","","April","September","","","",NA,"",1,350,51,9,3330,3330,"Löbl & Smetana (2003)","Löbl & Smetana (2003)","Werner (1991): 15","Werner (1991): 15","Freude et al. (2006): 18","Freude et al. (2006): 18","","","","Freude et al. (2006): 18","",NA
"255",3335,"Cicindelinae","Cicindelini","Cicindelina","cicindela","Cicindela","hybrida","Linné",1758,"Central Europe","widespread","AU,BE,BH,BU,BY,CR,CT,CZ,DE,EN,FI,FR,GB,GE,HU,IR,LA,LT,LU,MC,MD,NL,NR,NT,PL,RO,SK,SL,ST,SV,UK,YU,ES,KZ,WS","winged",13,10,"25 - 50 %","Predator","checked","","","","1,3,6,7,8,9","","April","October","","","",NA,"",1,350,51,9,3335,3335,"Löbl & Smetana (2003)","Löbl & Smetana (2003)","Freude et al. (2006): 18","Freude et al. (2006): 18","Freude et al. (2006): 18","Freude et al. (2006): 18","","GAC, Ed. (2009)","","Freude et al. (2006): 18","",NA
"256",3345,"Cicindelinae","Cicindelini","Cicindelina","cicindela","Cicindela","maritima","Dejean",1822,"Central Europe","widespread","BE,CR,CT,DE,EN,FI,FR,GB,GE,LA,LT,NL,NR,NT,PL,SV,KZ,WS,AR,BY,GG,MD,ST,UK","winged",16,11,"25 - 50 %","Predator","checked","","","","1,3","","April","September","","","",NA,"",1,350,51,9,3345,3345,"Löbl & Smetana (2003)","Löbl & Smetana (2003)","Werner (1991): 19","Werner (1991): 19","Freude et al. (2006): 18","Freude et al. (2006): 18","","GAC, Ed. (2009)","","Freude et al. (2006): 18","",NA
"257",3359,"Cicindelinae","Cicindelini","Cicindelina","cicindela","Cicindela","sylvatica","Linné",1758,"Central Europe","widespread","AL,AN,AU,BE,BH,BY,CR,CT,CZ,DE,EN,FI,FR,GB,GE,HU,IR,LA,LS,LT,LU,NL,NR,NT,PL,RO,SK,SL,ST,SV,SZ,UK,YU,ES,FE,HEI,JA,JIL,KZ,MG,NC,NMO,XIN,WS,SP,TR","winged",18,14,"25 - 50 %","Predator","checked","","","","6,7","","","","","","",NA,"",1,350,51,9,3359,3359,"Löbl & Smetana (2003)","Löbl & Smetana (2003)","Werner (1991): 14","Werner (1991): 14","Freude et al. (2006):17","Freude et al. (2006):15","","GAC, Ed. (2009)","","","",NA
"258",3361,"Cicindelinae","Cicindelini","Cicindelina","cicindela","Cicindela","sylvicola","Dejean",1822,"Central Europe","widespread","AU,BH,BU,CR,CZ,FR,GE,HU,IT,LS,LU,MD,PL,RO,SK,SL,SZ,UK,YU","winged",18,14,"25 - 50 %","Predator","checked","","","","6,7,8","","April","August","","","",NA,"",1,350,51,9,3361,3361,"Löbl & Smetana (2003)","Löbl & Smetana (2003)","Werner (1991): 15","Werner (1991): 15","Freude et al. (2006): 18","Freude et al. (2006): 18","","GAC, Ed. (2009)","","Freude et al. (2006): 18","",NA
"259",3364,"Cicindelinae","Cicindelini","Cicindelina","cicindela","Cicindela","transversalis","Dejean",1822,"Central Europe","widespread","AU,BU,CR,CZ,FR,GE,HU,MC,IT,RO,SP,SZ,YU","winged",16,12,"25 - 50 %","Predator","checked","","","","","","","","","","",NA,"",1,350,51,9,3364,3364,"Löbl & Smetana (2003)","Löbl & Smetana (2003)","","","","","","","","","",NA
"261",3401,"Scaritinae","Clivinini","Clivinina","clivina","","collaris","Herbst",1784,"Central Europe","widespread","AL,AN,AR,AU,AZ,BE,BU,CZ,DE,EN,FR,GB,GE,GR,HU,IT,LA,LU,MD,NL,PL,PT,RO,SK,SL,SP,ST,SV,SZ,TR,UK,YU,IN,KI,KZ,TD,TM,TR","winged",5,4,"10 - 25 %","Predator","","","","","1,3,4,5,9","","","","","","",NA,"",1,350,51,9,3401,3401,"Löbl & Smetana (2003)","Löbl & Smetana (2003)","Chatenet (2005): 214","Chatenet (2005): 214","Freude et al. (2006)","Freude et al. (2006)","","GAC, Ed. (2009)","","","",NA
"262",3515,"Carabinae","Cychrini","","cychrus","","attenuatus","Fabricius",1792,"Central Europe","widespread","AU,BE,BH,CR,CZ,FR,GE,HU,IT,MD,PL,RO,SK,SL,SZ,UK","shortwinged",20,11,"10 - 25 %","Predator","","checked","","","2,6","","","","","","",NA,"",1,350,51,9,3515,3515,"Löbl & Smetana (2003)","Löbl & Smetana (2003)","Freude et al. (2006): 62","Freude et al. (2006): 62","Freude et al. (2006): 60","Freude et al. (2006): 60","Freude et al. (2006): 60","GAC, Ed. (2009)","","","",NA
"263",3524,"Carabinae","Cychrini","","cychrus","","caraboides","Linn",1758,"Central Europe","widespread","AU,BE,BH,BY,CR,CT,CZ,DE,EN,FI,FR,GB,GE,HU,IR,IT,LA,MD,NR","shortwinged",20,14,"10 - 25 %","Predator","","checked","","","2,4,5,6,9","","","","","","",NA,"",1,350,51,9,3524,3524,"Löbl & Smetana (2003)","Löbl & Smetana (2003)","Freude et al. (2006): 63","Freude et al. (2006): 63","Freude et al. (2006): 63","Freude et al. (2006): 63","Freude et al. (2006): 63","GAC, Ed. (2009)","","","",NA
"272",3915,"Harpalinae","Lebiini","Demetriadina","demetrias","Demetrias","atricapillus","Linn",1758,"Central Europe","widespread","AU,BH,BU,CT,CZ,DE,EN,FR,GB,GE,GR,HU,IR,IT,LA,NL,NT,PL,PT,SK,SP,ST,SV,YU,AG,CI,MO,TU,IS,SY,TR","winged",6,4,"25 - 50 %","Predator","","","","","1,4,7,9","Imago","April","June","","","",NA,"Csiki (1946):537",1,350,51,9,3915,3915,"Löbl & Smetana (2003)","Löbl & Smetana (2003)","Freude et al. (2006): 448","Lindroth (1985/86): 422","Freude et al. (2006): 448","Lindroth (1985/86): 421","","GAC, Ed. (2009)","Lindroth (1985/86): 422","Lindroth (1985/86): 422","",NA
"273",3916,"Harpalinae","Lebiini","Demetriadina","demetrias","Aetophorus","imperialis","Germar",1824,"Central Europe","widespread","AB,AU,BH,BU,BY,CZ,DE,EN,FR,GB,GE,HU,IT,LA,MD,NL,NR,PL,PT,SK,SL,SP,ST,SV,UK,YU,AG,KI,KZ,TR","winged",6,4,"25 - 50 %","Predator","","","","","1,4","Imago","April","June","","","",NA,"",1,350,51,9,3916,3916,"Löbl & Smetana (2003)","Löbl & Smetana (2003)","Freude et al. (2006): 446","Lindroth (1985/86): 424","Freude et al. (2006): 446","Lindroth (1985/86): 421","","GAC, Ed. (2009)","Lindroth (1985/86): 421","Lindroth (1985/86): 421","",NA
"274",3920,"Harpalinae","Lebiini","Demetriadina","demetrias","Demetrias","monostigma","Samouelle",1819,"Central Europe","widespread","AR,AB,AU,BH,BU,BY,CZ,CT,DE,EN,FI,FR,GB,GE,GG,HU,IT,LA,LT,MD,NL,PL,PT,RO,SK,ST,SV,YU,KI,KZ","dimorphic",5,4,"25 - 50 %","Predator","","","","","1,4,5,9","Imago","April","June","","","",NA,"",1,350,51,9,3920,3920,"Löbl & Smetana (2003)","Löbl & Smetana (2003)","Freude et al. (2006): 447","Lindroth (1985/86): 421","Freude et al. (2006): 447","Lindroth (1985/86): 421","","GAC, Ed. (2009)","Lindroth (1985/86): 421","Lindroth (1985/86): 421","",NA
"275",3942,"Harpalinae","Harpalini","Anisodactylina","diachromus","","germanus","Linn",1758,"Central Europe","widespread","AL,AR,AU,BE,BH,BU,BY,CR,CZ,FR,GE,GG,GR,HU,IT,KZ,LA,LU,MA,MC,NL,PL,PT,SK,ST,IN,KI,KZ,SY,TD,TM","winged",10,7,"10 - 25 %","Herbivore","","","","","7,9","Imago","","","","","",NA,"",1,350,51,9,3942,3942,"Löbl & Smetana (2003)","Löbl & Smetana (2003)","Freude et al. (2006): 350","Lindroth (1985/86): 366","Freude et al. (2006): 350","Freude et al. (2006): 350","","GAC, Ed. (2009)","Freude et al. (2006): 350","","",NA
"281",4062,"Harpalinae","Sphodrini","Dolichina","dolichus","","halensis","Schaller",1783,"Central Europe","widespread","AU,BU,BY,CR,CT,CZ,DE,FR,GE,GR,HU,IT,LT,MD,NL,PL,RO,SK,SP,ST,SV,SZ,TR,UK,YU,ES,FE,JA,KZ,NC,SC,TR,UZ,WS","winged",20,13,"25 - 50 %","Predator","","","","","9","Larva","","","","","",NA,"Desender (1989): 33, Freude et al. (2006): 416",1,350,51,9,4062,4062,"Löbl & Smetana (2003)","Löbl & Smetana (2003)","Jeannel (1942a): 852","Lindroth (1985/86): 269, Freude et al. (2006): 292","Jeannel (1942a): 852","Freude et al. (2006): 292","","GAC, Ed. (2009)","Freude et al. (2006): 292","","",NA
"282",4067,"Harpalinae","Lebiini","Dromiina","dromius","Dromius","agilis","Fabricius",1787,"Central Europe","widespread","AU,BH,BU,BY,CT,CZ,DE,EN,FI,FR,GB,GE,HU,IR,IT,LA,LT,MC,MD,NL,NR,NT,PL,SK,SL,SP,ST,SV,UK,YU,WS","winged",7,4,"25 - 50 %","","","","","","5,6","Imago","","","checked","","",NA,"Antoine (1959): 443",1,350,51,9,4067,4067,"Löbl & Smetana (2003)","Löbl & Smetana (2003)","Freude et al. (2006): 457","Lindroth (1985/86): 428","Freude et al. (2006): 457","","","GAC, Ed. (2009)","Lindroth (1985/86)","","",NA
"283",4071,"Harpalinae","Lebiini","","dromius","Dromius","angustus","Brull",1834,"Central Europe","widespread","AU,BE,CZ,DE,EN,FR,GB,GE,HU,IT,NL,NR,PL,SP,SV,TR,MR,CI","winged",6,5,"25 - 50 %","","","","","","6","Imago","","","checked","","",NA,"",1,350,51,9,4071,4071,"Löbl & Smetana (2003)","Löbl & Smetana (2003)","Freude et al. (2006): 459","Lindroth (1985/86): 429","Freude et al. (2006): 459","","","GAC, Ed. (2009)","Lindroth (1985/86)","","",NA
"284",4087,"Harpalinae","Lebiini","Dromiina","dromius","Dromius","fenestratus","Fabricius",1794,"Central Europe","widespread","AU,BE,BU,BY,CT,CZ,DE,EN,FI,FR,GE,HU,IT,LA,NL,NR,NT,PL,PT,RO,SK,SL,SP,SV,YU","winged",6,5,"25 - 50 %","","","","","","6","Imago","","","checked","","",NA,"Chatenet (2005): 507, De la Fuente (1927): 201",1,350,51,9,4087,4087,"Löbl & Smetana (2003)","Löbl & Smetana (2003)","Freude et al. (2006): 460","Lindroth (1985/86): 430","Freude et al. (2006): 460","","","GAC, Ed. (2009)","Lindroth (1985/86)","","",NA
"285",4102,"Harpalinae","Lebiini","Dromiina","dromius","Dromius","meridionalis","Dejean",1825,"Central Europe","widespread","AB,AZ,DE,FR,GB,GE,GR,HU,IR,IT,NL,PT,SP,AG,MO,TU,WS","winged",7,5,"25 - 50 %","","","","","","6","Imago","","","checked","","",NA,"",1,350,51,9,4102,4102,"Löbl & Smetana (2003)","Löbl & Smetana (2003)","Freude et al. (2006): 459","Lindroth (1985/86): 429","Freude et al. (2006): 459","","","GAC, Ed. (2009)","Lindroth (1985/86)","","",NA
"286",4109,"Harpalinae","Lebiini","","dromius","Dromius","quadraticollis","Morawitz",1862,"Central Europe","widespread","AU,BY,BU,CT,CZ,EN,FI,FR,GE,HU,LA,MD,NT,PL,SK,SP,SV,UK,ES,FE,JA,WS","winged",6,5,"25 - 50 %","","","","","","6","Imago","","","checked","","",NA,"",1,350,51,9,4109,4109,"Löbl & Smetana (2003)","Löbl & Smetana (2003)","Freude et al. (2006): 459","Lindroth (1985/86): 429","Freude et al. (2006): 459","","","GAC, Ed. (2009)","Lindroth (1985/86)","","",NA
"287",4110,"Harpalinae","Lebiini","Dromiina","dromius","Dromius","quadrimaculatus","Linn",1758,"Central Europe","widespread","AB,AU,BE,BH,BU,BY,CT,CZ,DE,EN,FI,FR,GB,GE,HU,IR,IT,LA,LS,LT,MA,MC,MD,NL,NR,NT,PL,SL,SP,ST,SV,UK,YU,TR","winged",6,4,"25 - 50 %","","","","","","5,6,9","Imago","","","checked","","",NA,"",1,350,51,9,4110,4110,"Löbl & Smetana (2003)","Löbl & Smetana (2003)","Freude et al. (2006): 461","Lindroth (1985/86): 432","Freude et al. (2006): 461","","","GAC, Ed. (2009)","Lindroth (1985/86)","","",NA
"288",4113,"Harpalinae","Lebiini","Dromiina","dromius","Dromius","schneideri","Crotch",1871,"Central Europe","widespread","AU,BU,BY,CT,CZ,DE,EN,FI,FR,GE,HU,LA,LT,NL,NR,NT,PL,SK,SV,SZ,UK,KZ,WS","winged",6,5,"25 - 50 %","","","","","","6","Imago","","","checked","","",NA,"",1,350,51,9,4113,4113,"Löbl & Smetana (2003)","Löbl & Smetana (2003)","Freude et al. (2006): 460","Lindroth (1985/86): 430","Freude et al. (2006): 460","","","GAC, Ed. (2009)","Lindroth (1985/86)","","",NA
"289",4118,"Harpalinae","Dryptini","","drypta","Drypta","dentata","P. Rossi",1790,"Central Europe","widespread","AL,AR,AU,AZ,BE,BH,BU,BY,CR,CT,CZ,FR,GB,GE,GG,GR,HU,IT,MC,MD,PL,PT,RO,SK,SL,SP,ST,SZ,TR,UK,YU,AG,EG,MO,TU,IN,IS,SY,TR","winged",9,7,"25 - 50 %","Predator","","","","","4,6,9","Imago","","","","","",NA,"",1,350,51,9,4118,4118,"Löbl & Smetana (2003)","Löbl & Smetana (2003)","Jeannel (1942a): 1099","Jeannel (1942a): 1099","Jeannel (1942a): 1099","Freude et al. (2006): 477","Freude et al. (2006): 477","GAC, Ed. (2009)","Jeannel (1942a): 1099","","",NA
"290",4404,"Scaritinae","Dyschiriini","","dyschirius","Dyschiriodes","agnatus","Motschulsky",1844,"Central Europe","widespread","AB,AL,AU,BU,CZ,FR,GE,GG,GR,IT,MD,PL,RO,SP,SK,ST,SZ,TR,UK,YU,MO,IQ,KZ,TR","winged",5,4,"25 - 50 %","Predator","checked","","","","3","Larva","","","","","",NA,"",1,350,51,9,4404,4404,"Löbl & Smetana (2003)","Löbl & Smetana (2003)","Freude et al. (2006): 101","Freude et al. (2006): 101","Freude et al. (2006): 101","Lindroth (1985/86)","Hengeveld (1980)","GAC, Ed. (2009)","Lindroth (1985/86)","","",NA
