"genus","species","newcarabids_habitatpreference_carabids_habitat","newmartin2019_overwintering_habitat_martin2019_habitat","newmartin2019_stratum_martin2019_habitat","newsesync_crops_sesync_habitat","newsesync_finalhabitat_sesync_habitat","newsesync_overwinter.location_sesync_habitat","newtamburini_habitat.breadth_tamburini_habitat","newtamburini_host.breadth..n..host.families._tamburini_habitat","newjeppsson_larval.host.plants..nr.._jeppsson_habitat","newjeppsson_overwintering.stage..adult.larvae._jeppsson_habitat","newjeppsson_substrate.utilization.breadth..nr.._jeppsson_habitat","newarthropodtraits_stratum_use_arthropodtraits_habitat","newarthropodtraits_stratum_use_short_arthropodtraits_habitat","newemerystickytrap_habitat_emerysticky_habitat","newemerypitfalltrap_habitat_emerypit_habitat"
"camponotus","anezkae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"camponotus","armstrongi",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"camponotus","aruensis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"camponotus","atriceps",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"camponotus","blandus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"camponotus","bonariensis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"camponotus","castaneus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"camponotus","cf. chloroticus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"camponotus","cf. conithorax",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"camponotus","cf. macrocephalus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"camponotus","cf. variegatus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"camponotus","cf._compressus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"camponotus","cingulatus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"camponotus","clarior",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"camponotus","claripes gp. sp. SS 1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"camponotus","claripes gp. sp. SS 2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"camponotus","claripes gp. sp. SS 2 & discors gp. sp. SS 2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"camponotus","claripes gp. sp. SS 3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"camponotus","crozieri",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"camponotus","discors gp. sp. SS 1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"camponotus","dorycus confusus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"camponotus","ephippium",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"camponotus","essigi",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"camponotus","evae gp. sp. SS 1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"camponotus","floridanus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"camponotus","foreli",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"camponotus","friedae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"camponotus","gasseri",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"camponotus","gigas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"camponotus","gouldianus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"camponotus","havilandi",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"camponotus","herculeanus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"camponotus","irredux",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"camponotus","itoi",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"camponotus","laevigatus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"camponotus","lateralis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"camponotus","leae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"camponotus","leydigi",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"camponotus","ligniperdus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"camponotus","melanoticus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"camponotus","minimus gp. sp. SS 1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"camponotus","near aurocinctus sp. SS 1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"camponotus","near capito sp. SS 1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"camponotus","near capito sp. SS 1  near capito sp. SS 2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"camponotus","nigriceps",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"camponotus","novogranadensis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"camponotus","pennsylvannicus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"camponotus","pilicornis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"camponotus","prosseri",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"camponotus","pseudoirritans",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"camponotus","quadriceps",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"camponotus","rotundus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"camponotus","rubidus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"camponotus","rubiginosis gp. sp. SS 1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"camponotus","rubiginosis gp. sp. SS 2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"camponotus","rufipes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"camponotus","sanguinifrons",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"camponotus","senex",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"camponotus","similimus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"camponotus","socius",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"camponotus","sp. 20 aff. janeti",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"camponotus","sp. 21 aff. janeti",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"camponotus","sp. 42",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"camponotus","sp. 5 aff. poecilus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"camponotus","sp. prox. Cingulatus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"camponotus","sp.09",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"camponotus","sp.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"camponotus","sp.10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"camponotus","sp.14",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"camponotus","sp.2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"camponotus","sp.29",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"camponotus","sp.3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"camponotus","sp.35",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"camponotus","sp.8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"camponotus","sp._16_rubiginosus_gp.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"camponotus","sp._24_claripes_gp.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"camponotus","sp._4_pellax_gp.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"camponotus","sp._8_discors_gp.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"camponotus","sp._9_novaehollandiae_gp.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"camponotus","trajanus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"camponotus","triangulatus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"camponotus","truncatus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"camponotus","un01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"camponotus","un10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"camponotus","vicinus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"camponotus","vitreus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"camponotus","wanangus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"carabus","arcensis","24679",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"carabus","auratus",NA,"natural margin crop","ground/veg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"carabus","auronitens","269","natural margin crop","ground/veg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"carabus","cancellatus","679","natural margin crop","ground/veg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"carabus","clatratus","14",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"carabus","convexus","2679","natural margin crop","ground/veg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"carabus","coriaceus",NA,"natural margin crop","ground/veg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"carabus","glabratus","6","natural margin crop","ground/veg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"carabus","granulatus","1459","natural margin crop","ground/veg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"carabus","hortensis","26",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"carabus","hungaricus",NA,"natural margin crop","ground/veg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"carabus","intricatus","69","natural margin crop","ground/veg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"carabus","irregularis","26",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"carabus","linnei","6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"carabus","menetriesi","4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"carabus","monilis","45679","natural margin crop","ground/veg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"carabus","nemoralis","15679","natural margin crop","ground/veg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"carabus","nitens","147",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"carabus","problematicus",NA,"natural margin crop","ground/veg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"carabus","scabriusculus",NA,"natural margin crop","ground/veg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"carabus","scheidleri","569",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"carabus","sylvestris","246",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"carabus","ulrichii","245679",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"carabus","variolosus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"carabus","violaceus","245679","natural margin crop","ground/veg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"cardiocondyla","193",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"cardiocondyla","86",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"cardiocondyla","95",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"cardiocondyla","emeryi",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"cardiocondyla","microseta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"cardiocondyla","obscurior",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"cardiocondyla","sp._1_nuda_complex",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"cardiocondyla","wroughtonii",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"carebara","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"carebara","50",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"carebara","52",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"carebara","anophtalma",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"carebara","atoma",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"carebara","crassiuscula",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"carebara","jiangxiensis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"carebara","melasolena",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"carebara","panamensis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"carebara","reina",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"carebara","sp.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"carebara","sp.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"carebara","urichi",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"carpelimus","bilineatus",NA,"natural margin crop","ground/veg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"carpelimus","corticinus",NA,"natural margin crop","ground/veg",NA,NA,NA,NA,NA,NA,NA,NA,"g","g",NA,NA
"carpelimus","elongatulus",NA,"natural margin crop","ground/veg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"carpelimus","gracilis",NA,"natural margin crop","ground/veg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"carpelimus","impressus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"g","g",NA,NA
"carpelimus","rivularis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"g","g",NA,NA
"centromerita","bicolor",NA,"natural margin","ground/veg",NA,NA,NA,NA,NA,NA,NA,NA,"g","g",NA,NA
"centromerus","brevipalpus",NA,"natural margin","ground/veg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"centromerus","leruthi",NA,"natural margin","ground/veg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"centromerus","sylvaticus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"g-h-t","u",NA,NA
"cephalotes","atratus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"cephalotes","betoi",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"cephalotes","minutus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"cephalotes","pallidoides",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"cephalotes","persimilis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"cephalotes","pusillus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"cephalotes","simillimus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"cephus","",NA,"natural margin","aerial",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"cerambyx","cerdo",NA,NA,NA,NA,NA,NA,NA,NA,"1","A","2",NA,NA,NA,NA
"cerambyx","scopolii",NA,NA,NA,NA,NA,NA,NA,NA,"6","A","1",NA,NA,NA,NA
"cerapachys","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"cerapachys","151",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"cerapachys","168",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"cerapachys","215",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"cerapachys","3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"cerapachys","9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"cerapachys","brevis gp. sp. SS 1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"cerapachys","cf. flavaclavatus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"cerapachys","clarki gp. sp. SS 1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"cerapachys","desposyne",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"cerapachys","fervidus gp. sp. SS 1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"cerapachys","fervidus gp. sp. SS 2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"cerapachys","fervidus gp. sp. SS 3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"cerapachys","fervidus gp. sp. SS 4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"cerapachys","sp._11_turneri_gp.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"cerapachys","sp._4_singularis_gp.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"cerapachys","splendens",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"cerapachys","sulcinodis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"cerapachys","toltecus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"cerapachys","un01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"cerapachys","varians gp. sp. SS 1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"cerapachys","varians gp. sp. SS 2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ceratinella","",NA,"natural margin","ground/veg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ceratinella","brevipes",NA,"natural margin","ground/veg",NA,NA,NA,NA,NA,NA,NA,NA,"g","g",NA,NA
"ceratinella","brevis",NA,"natural margin","ground/veg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ceratinella","major",NA,"natural margin","ground/veg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ceratinella","scabrosa",NA,"natural margin","ground/veg",NA,NA,NA,NA,NA,NA,NA,NA,"g","g",NA,NA
"cerceris","quinquefasciata",NA,"natural margin","aerial",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"cerceris","rybyensis",NA,"natural margin","aerial",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"chaenotetrastichus","",NA,"natural margin","aerial",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"chaenotetrastichus","grangeri",NA,"natural margin","aerial",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"chaenotetrastichus","semiflavus",NA,"natural margin","aerial",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"chaetocnema","aridula",NA,"natural margin","ground/veg",NA,NA,NA,NA,NA,NA,NA,NA,"h","h",NA,NA
"chaetocnema","concinna",NA,"natural margin","ground/veg",NA,NA,NA,NA,NA,NA,NA,NA,"h","h",NA,NA
"chaetocnema","hortensis",NA,"natural margin","ground/veg",NA,NA,NA,NA,NA,NA,NA,NA,"h","h",NA,NA
"chaetocnema","laevicollis",NA,"natural margin","ground/veg",NA,NA,NA,NA,NA,NA,NA,NA,"h","h",NA,NA
"chaetocnema","mannerheimi",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"h","h",NA,NA
"chaetocnema","subcoerulea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"h","h",NA,NA
"chalcosyrphus","nemorum",NA,"natural margin","aerial",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"chlaenius","costulatus","4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"chlaenius","decipiens",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"chlaenius","festivus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"chlaenius","nigricornis","134","natural margin","ground/veg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"chlaenius","nitidulus","349",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"chlaenius","olivieri",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"chlaenius","tibialis","389",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"chlaenius","tristis","14",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"chlaenius","vestitus","134",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"chlorophorus","herbstii",NA,NA,NA,NA,NA,NA,NA,NA,"4","L","1",NA,NA,NA,NA
"chrysis","",NA,"natural margin","aerial",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"chrysis","angustula",NA,"natural margin","aerial",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"chrysis","cyanea",NA,"natural margin","aerial",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"chrysis","ignita",NA,"natural margin","aerial",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"chrysis","indigotea",NA,"natural margin","aerial",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"chrysocharis","pentheus",NA,"natural margin","aerial",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"chrysopa","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Canopy",NA
"chrysoperla","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Canopy",NA
"chrysoperla","carnea",NA,"natural margin","aerial",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"chrysoperla","lucasina",NA,"natural margin","aerial",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"chrysopidae","",NA,"natural margin","aerial",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"cicindela","campestris","246789","natural margin","ground/veg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"cicindela","gallica",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"cicindela","germanica",NA,"natural margin","ground/veg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"cicindela","hybrida","136789",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"cicindela","maritima","13",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"cicindela","sylvatica","67",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"cicindela","sylvicola","678",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"cicindela","transversalis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"cicurina","cicur",NA,"natural margin","ground/veg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"clivina","collaris","13459","natural margin crop","ground/veg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"clivina","fossor",NA,"natural margin crop","ground/veg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"closterotomus","biclacatus",NA,"natural margin","ground/veg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"closterotomus","norwegicus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"h","h",NA,NA
"clubiona","brevipes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"t","t",NA,NA
"clubiona","comta",NA,"natural margin","ground/veg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"clubiona","diniensis",NA,"natural margin","ground/veg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"clubiona","diversa",NA,"natural margin","ground/veg",NA,NA,NA,NA,NA,NA,NA,NA,"s-g-h-t","u",NA,NA
"clubiona","leucaspis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"t","t",NA,NA
